date	type	location	count	response
2009-12-01	Non Structural Fires	The Bronx	214	278
2009-12-01	Non Structural Fires	Staten Island	48	279
2009-12-01	Non Structural Fires	Brooklyn	415	227
2009-12-01	Non Structural Fires	Queens	315	278
2009-12-01	Medical Emergencies	Citywide	16706	266
2009-12-01	Medical Emergencies	Manhattan	4257	269
2009-12-01	Medical Emergencies	The Bronx	3210	274
2009-12-01	Medical Emergencies	Staten Island	900	278
2009-12-01	Medical Emergencies	Brooklyn	4647	242
2009-12-01	Medical Emergencies	Queens	3692	282
2009-12-01	Non Medical Emergencies	Citywide	19205	293
2009-12-01	Non Medical Emergencies	Manhattan	5017	300
2009-12-01	Non Medical Emergencies	The Bronx	3937	303
2009-12-01	Non Medical Emergencies	Staten Island	1018	300
2009-12-01	Non Medical Emergencies	Brooklyn	5533	260
2009-12-01	Non Medical Emergencies	Queens	3700	319
2009-12-01	False Alarm	Citywide	1947	262
2009-12-01	False Alarm	Manhattan	400	276
2009-12-01	False Alarm	The Bronx	425	278
2009-12-01	False Alarm	Staten Island	119	272
2009-12-01	False Alarm	Brooklyn	439	234
2009-12-01	False Alarm	Queens	564	260
2009-12-01	Medical False Alarm	Citywide	370	272
2009-12-01	Medical False Alarm	Manhattan	104	269
2009-12-01	Medical False Alarm	The Bronx	51	295
2009-12-01	Medical False Alarm	Staten Island	14	338
2009-12-01	Medical False Alarm	Brooklyn	103	246
2009-12-01	Medical False Alarm	Queens	98	285
2009-12-01	All Fire/Emergency Incidents	Citywide	42260	277
2009-12-01	All Fire/Emergency Incidents	Manhattan	10794	284
2009-12-01	All Fire/Emergency Incidents	The Bronx	8433	288
2009-12-01	All Fire/Emergency Incidents	Staten Island	2229	288
2009-12-01	All Fire/Emergency Incidents	Brooklyn	11953	249
2009-12-01	All Fire/Emergency Incidents	Queens	8851	296
2010-01-01	Structural Fires	Citywide	2467	235
2010-01-01	Structural Fires	Manhattan	624	251
2010-01-01	Structural Fires	The Bronx	554	239
2010-01-01	Structural Fires	Staten Island	91	256
2010-01-01	Structural Fires	Brooklyn	773	203
